GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
A1CF;-0.743692239;4.091454871;-5.666312707;8.88E-08;2.07E-06;7.546232341;7933640
A2M;0.08681373;9.020038844;0.715377511;0.475651118;0.595740278;-6.405793623;7960947
A2ML1;0.688709713;3.460773462;5.020449579;1.65E-06;2.28E-05;4.749218008;7953775
A3GALT2;-0.110741192;2.88376899;-3.055919143;0.002720497;0.009595803;-2.190152137;7914643
A4GALT;0.137609794;5.148997376;2.238696613;0.026866006;0.0616426;-4.221804452;8076497
A4GNT;0.065625457;2.832575841;0.78983847;0.43105196;0.553967236;-6.350479493;8090955
AAAS;-0.059263954;5.565191917;-1.048359167;0.296406858;0.415941468;-6.116482117;7963646
AACS;0.072429612;5.026034996;1.206658431;0.229742018;0.341749463;-5.941272001;7959786
AADAC;-0.110739469;3.517764321;-0.512156899;0.609405086;0.71305342;-6.529080828;8083415
AADACL2;-0.05244401;2.32057268;-1.626855884;0.106174964;0.186333621;-5.360329814;8083409
AADACL3;-0.049931435;3.150842114;-1.094370452;0.275804175;0.393683354;-6.068043264;7897960
AADACL4;-0.107155792;2.448144649;-2.613893275;0.01000152;0.02773785;-3.35900939;7897955
AADAT;-0.042862401;3.698418332;-0.728776567;0.467441481;0.587779418;-6.39624035;8103706
AAGAB;0.063251928;5.371462874;1.447182633;0.150238725;0.245473224;-5.62916438;7989953
AAK1;-0.102812296;6.481251912;-1.93720096;0.054876863;0.110140742;-4.82534314;8052803
AAMDC;-0.063191448;4.102925746;-1.317205231;0.190073195;0.295672375;-5.804662559;7942783
AAMP;0.169182809;5.634625259;2.661751578;0.00874858;0.024836349;-3.240278112;8058914
AANAT;-0.188263983;3.964614172;-3.513110893;0.000608725;0.002841141;-0.8171524;8010071
AAR2;0.002968228;4.919659678;0.085190181;0.932240483;0.95563661;-6.655376054;8062286
AARD;-0.117047783;3.266182075;-3.26918408;0.001378521;0.005545562;-1.569807243;8148000
AARS1;-0.046589604;6.931295824;-0.869017899;0.386429492;0.510987434;-6.285717381;8002347
AARS2;0.066894703;4.03697207;1.921023787;0.056905054;0.113499915;-4.855412546;8126681
AASDH;0.077659339;4.648144774;1.212955236;0.227333471;0.339014806;-5.933804509;8100478
AASDHPPT;-0.164649146;6.569026313;-3.017304274;0.003065952;0.010555386;-2.298621782;7943552
AASS;-0.325019864;6.514137934;-3.45864479;0.000733266;0.003310585;-0.989120686;8142554
AATBC;0.042480775;3.192246196;0.863369955;0.389514807;0.513833625;-6.290539426;8070708
AATF;0.063412691;5.917138172;1.561242072;0.120883461;0.206667519;-5.462013269;8006690
AATK;-0.382028999;4.645813054;-5.788400601;5.00E-08;1.28E-06;8.098202734;8019090
ABAT;-0.94962771;5.380505627;-6.848763098;2.63E-10;1.71E-08;13.15621238;7993126
ABCA1;0.476564029;6.139817847;4.116602671;6.77E-05;0.000475613;1.231912076;8162940
ABCA10;-0.503257689;4.511034439;-3.833697783;0.000195302;0.001116775;0.239239882;8018006
ABCA11P;-0.072200616;3.602343426;-0.979738263;0.32902439;0.451048833;-6.184921374;8098752
