GeneSymbol;DatasetID;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
ACSL5;GSE62165;3.692839333;8.330714097;12.97043506;2.76E-25;1.49E-23;46.89034182;11723947_a_at
ACTA2;GSE62165;2.582186566;12.24403657;15.27849557;6.23E-31;1.03E-28;59.78977322;11722352_s_at
ADAM28;GSE62165;1.976194108;7.968100096;7.780188896;1.88E-12;1.40E-11;17.62588282;11736746_a_at
ADAM9;GSE16515;1.663464432;11.51536346;7.004497089;5.18E-09;1.62E-06;10.50296391;202381_at
ADAMTS12;GSE15471;2.325224881;6.926846984;12.64476592;1.27E-20;4.08E-17;36.38555879;226997_at
AEBP1;GSE15471;2.493423074;9.290758734;12.07349516;1.41E-19;3.09E-16;34.04251226;201792_at
AGR2;GSE16515;3.796919815;11.20713453;8.477681522;2.49E-11;4.12E-08;15.59830182;209173_at
AHNAK2;GSE62165;4.795873841;7.557039818;14.89308346;5.28E-30;6.91E-28;57.66931523;11717131_a_at
ANKRD22;GSE16515;1.991872891;5.855776581;7.223139807;2.33E-09;1.04E-06;11.26560962;239196_at
ANLN;GSE62165;3.736362721;7.163711744;11.77840395;2.62E-22;8.66E-21;40.08950634;11724464_a_at
ANO1;GSE62165;3.152262536;10.33450585;13.08921107;1.40E-25;8.05E-24;47.56432074;11723829_s_at
ANTXR1;GSE62165;2.974661169;10.81086716;14.57767532;3.07E-29;3.39E-27;55.9229134;11718523_s_at
ANXA10;GSE16515;3.087726795;8.595220903;4.719138985;1.86E-05;0.000448203;2.690632258;210143_at
ASPM;GSE62165;2.635479916;5.638122276;9.540800306;1.03E-16;1.42E-15;27.32469728;11742832_a_at
BGN;GSE62165;2.426845704;8.627777698;11.78152;2.57E-22;8.52E-21;40.10734393;11721245_s_at
CAPG;GSE62165;2.74711123;8.393042164;13.76655243;2.96E-27;2.25E-25;51.38982172;11744276_a_at
CCL20;GSE62165;3.580434011;8.286963405;7.562295388;6.07E-12;4.25E-11;16.46959399;11724828_at
CD109;GSE62165;2.730203912;8.759675111;11.36265615;2.89E-21;8.07E-20;37.70857221;11717658_at
CDH11;GSE62165;3.522148436;8.646782092;15.01595329;2.67E-30;3.77E-28;58.34697408;11742873_a_at
