GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
A1CF;-0.896663843;4.087309377;-5.222164737;1.12E-06;2.19E-05;5.183050171;7933640
A2M;-0.068113552;9.188860814;-0.498872095;0.619079417;0.739559864;-6.511813544;7960947
A2ML1;0.735167833;3.364676282;4.511683423;1.93E-05;0.000216966;2.473005974;7953775
A3GALT2;-0.077006594;2.676078307;-1.969102712;0.05199894;0.12279406;-4.749154663;7914643
A4GALT;0.19163486;4.759514533;2.622869636;0.010230451;0.034426262;-3.342139099;8076497
A4GNT;0.093651311;2.824202712;0.878580714;0.38195435;0.533061813;-6.253359332;8090955
AAAS;-0.161397083;5.630711508;-3.682835503;0.000392022;0.002500504;-0.361946483;7963646
AACS;0.037218931;5.214006591;0.506979632;0.613401673;0.735241557;-6.507772174;7959786
AADAC;0.06642878;3.69025109;0.238066701;0.812367309;0.881595049;-6.607168107;8083415
AADACL2;-0.044666862;2.173888391;-1.123602621;0.26415205;0.41131265;-6.012305924;8083409
AADACL3;-0.019891436;2.946476656;-0.381337924;0.703845936;0.803561038;-6.563114777;7897960
AADACL4;-0.14182416;2.421548696;-2.874801546;0.005038566;0.019656535;-2.707813528;7897955
AADAT;-0.129197036;3.917478617;-1.729711915;0.087089489;0.181739659;-5.172858748;8103706
AAGAB;0.054401235;5.542131244;1.272218096;0.206553413;0.345480078;-5.838171472;7989953
AAK1;-0.161616623;6.640260396;-3.269154037;0.001525878;0.007481414;-1.619645606;8052803
AAMDC;-0.063997463;4.396331543;-1.120191015;0.265595067;0.412784063;-6.016057224;7942783
AAMP;0.230912104;5.807374774;3.127158769;0.002373683;0.0106791;-2.02441793;8058914
AANAT;-0.071038473;3.669066224;-1.3046701;0.19531173;0.331459311;-5.797372582;8010071
AAR2;0.013066821;4.83871696;0.321896273;0.748273299;0.836893765;-6.583860177;8062286
AARD;-0.044026678;2.998615039;-1.205883725;0.231004198;0.374381643;-5.918480367;8148000
AARS1;-0.028494731;7.141320775;-0.411369594;0.681773683;0.78753699;-6.551304403;8002347
AARS2;0.078704149;3.921832355;1.788297482;0.077073076;0.165552279;-5.073871936;8126681
AASDH;-0.022895542;5.037796517;-0.302159716;0.76322333;0.847051142;-6.589974631;8100478
AASDHPPT;-0.176918316;6.840869774;-2.702826017;0.008210086;0.028830676;-3.146146292;7943552
AASS;-0.313007588;6.621167463;-3.400615736;0.001002061;0.005300461;-1.232374309;8142554
AATBC;0.161184823;2.940212117;2.976297683;0.003741569;0.015448421;-2.438602255;8070708
AATF;0.103323594;6.056198176;2.269510118;0.025611791;0.070538714;-4.146895991;8006690
AATK;-0.363942896;4.232527058;-5.174238699;1.37E-06;2.58E-05;4.993300137;8019090
ABAT;-1.110265451;5.343719913;-6.215944666;1.54E-08;6.74E-07;9.302372092;7993126
ABCA1;0.544989954;6.372122946;4.015128425;0.000122367;0.000977207;0.727304237;8162940
ABCA10;-0.912619812;4.987433319;-5.988612832;4.21E-08;1.55E-06;8.332154537;8018006
ABCA11P;-0.171253915;4.050908396;-1.893021116;0.061549299;0.139844696;-4.889309031;8098752
ABCA12;0.663193011;2.948151049;6.470819402;4.89E-09;2.64E-07;10.40654467;8058708
ABCA13;0.545554012;3.184181893;4.87041427;4.70E-06;6.93E-05;3.812815387;8132743
ABCA2;-0.000638119;5.030547504;-0.010358442;0.991758097;0.994713071;-6.635272473;8165345
ABCA3;-0.351605286;3.913740216;-6.201345802;1.64E-08;7.08E-07;9.239634666;7998784
ABCA4;0.026390002;2.846523312;1.036171475;0.302881698;0.453427283;-6.104935743;7917798
ABCA5;-0.980714249;6.578163177;-6.267304439;1.22E-08;5.60E-07;9.523537907;8018038
ABCA6;-0.507904915;5.642150266;-2.749574205;0.0072042;0.026013514;-3.02924379;8017964
ABCA7;0.031397311;4.323770914;0.7484462;0.456130928;0.602298119;-6.357804473;8024120
ABCA8;-1.135588979;5.277316276;-5.379270184;5.81E-07;1.30E-05;5.811432567;8017885
ABCA9;-0.540899278;5.406467585;-2.831117337;0.005714847;0.021634136;-2.821299121;8017927
ABCB1;-0.484295744;5.139082986;-2.944330267;0.004112337;0.016702174;-2.524222875;8140782
ABCB10;0.11331723;4.781631979;2.001349265;0.04834868;0.115930857;-4.688223982;7924956
ABCB11;0.040749016;2.752396161;0.873801469;0.384538175;0.535437833;-6.257485975;8056583
ABCB4;0.245559288;3.544803977;2.559599287;0.012137124;0.039285416;-3.493654736;8140752
ABCB5;-0.005716665;2.702237964;-0.070955848;0.943589392;0.966390143;-6.632823712;8131682
ABCB6;0.013692515;4.442158638;0.212376109;0.832291025;0.895075607;-6.612915932;8059111
ABCB7;0.071455985;5.722592188;1.158120214;0.249860806;0.395874629;-5.97372829;8173629
ABCB8;0.10571998;4.133675141;2.513729858;0.013713611;0.043210896;-3.601502932;8137310
ABCB9;0.017609967;3.306124799;0.608189965;0.544584188;0.677918197;-6.451876611;7967337
ABCC1;0.351627258;5.768910776;4.108727527;8.72E-05;0.000740771;1.045963338;7993478
ABCC10;-0.00072852;4.667165349;-0.01854012;0.985248768;0.990981349;-6.635154968;8119801
ABCC11;0.04597712;3.150479562;1.591311763;0.115025114;0.224126621;-5.394409167;8001271
ABCC12;-0.062273248;2.749497465;-1.854317498;0.066949135;0.148936933;-4.9586524;8001235
ABCC13;-0.093624148;2.807172189;-1.934990735;0.056112845;0.130275414;-4.812622136;8067877
ABCC2;-0.262268307;3.145107575;-2.321016936;0.022531605;0.063807234;-4.035959848;7929779
ABCC3;0.583536159;5.805447043;3.753827887;0.000307298;0.002061194;-0.134915391;8008454
ABCC4;0.04574307;5.798748996;0.590491683;0.556332124;0.687620503;-6.462377444;7972297
ABCC5;0.316267399;5.29990929;2.939318792;0.004173444;0.016893322;-2.537576608;8092418
ABCC6;-0.349020021;3.95628964;-3.945111752;0.000157191;0.001199881;0.492257655;7999727
ABCC6P2;-0.408491407;5.490568526;-3.91889849;0.000172524;0.001290641;0.405004196;7999591
ABCC8;-0.950169433;5.280239001;-4.734281978;8.08E-06;0.000106712;3.297164114;7946860
ABCC9;-0.423662986;6.47357754;-2.372320413;0.01979368;0.057783774;-3.9232726;7961710
ABCD1;-0.068401522;4.166812973;-1.12052005;0.265455654;0.412611817;-6.015695911;8170704
ABCD2;-0.069442368;3.705845075;-0.491106923;0.624539156;0.744324122;-6.515623512;7962312
ABCD3;-0.206908459;7.755923037;-2.193097194;0.030862763;0.081688559;-4.307381434;7903119
ABCD4;0.060137686;5.202250079;1.168891669;0.245515633;0.391115263;-5.96145798;7980115
ABCE1;-0.126938321;6.088200474;-1.480262506;0.142274653;0.2626504;-5.559544631;8097647
ABCF1;-0.004021628;6.600869133;-0.088205074;0.929908489;0.958565563;-6.631459403;8177797
ABCF2-H2BK1;-0.013170195;4.519367791;-0.220716975;0.825809779;0.890460632;-6.611121605;8143905
ABCF3;-0.00899066;5.536766665;-0.164578706;0.869642469;0.920432191;-6.6218666;8084360
ABCG1;0.510560268;4.687844902;5.018160623;2.59E-06;4.32E-05;4.381919078;8068761
ABCG2;-0.054279785;3.769515809;-0.39079913;0.696863774;0.798704157;-6.559490243;8101675
ABCG4;-0.049639289;3.460594837;-1.344063597;0.182286123;0.315679043;-5.746518712;7944447
ABCG5;-0.105893735;3.00081563;-0.886841906;0.377513666;0.528819546;-6.246174038;8051866
ABCG8;-0.107871743;3.404804988;-1.38396569;0.169771159;0.299579682;-5.693528466;8041696
ABHD1;-0.117050294;3.325580841;-2.483752287;0.014840899;0.045994838;-3.671072124;8040815
ABHD10;-0.030623049;5.673004804;-0.524752532;0.601037767;0.725664309;-6.498686302;8081612
ABHD11;0.258613854;4.648151019;3.098690127;0.002589497;0.011448115;-2.103843245;8140129
ABHD12;-0.332546252;6.600686714;-3.310894943;0.001336731;0.006719501;-1.497969256;8065469
ABHD12B;0.009203205;3.065612148;0.323480972;0.747076999;0.83610645;-6.583352496;7974288
ABHD13;-0.20211029;6.695281199;-4.229220029;5.60E-05;0.000518501;1.4634818;7969979
ABHD14A-ACY1;-0.260391332;5.005505117;-3.970138137;0.000143775;0.0011145;0.575940537;8080162
ABHD14B;-0.135664632;5.034077938;-3.359411105;0.001144566;0.005910995;-1.355032633;8087825
ABHD15;-0.137322154;4.926206959;-1.818015979;0.072368764;0.158034331;-5.022486354;8013919
ABHD16A;0.040493689;5.092873786;0.786155207;0.433829296;0.58225095;-6.329234211;8125017
ABHD16B;-0.081717025;3.464179407;-1.540009764;0.127045809;0.241299234;-5.472104753;8064203
