GeneSymbol;DatasetID;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
ACADL;GSE62165;-2.395682033;3.157778466;-15.00197304;2.88E-30;4.01E-28;58.26994645;11761556_at
ALB;GSE62165;-5.396271942;5.483542217;-8.886437615;4.17E-15;4.55E-14;23.65986886;11747269_a_at
ANPEP;GSE62165;-4.716613722;6.376159116;-9.804366201;2.28E-17;3.49E-16;28.8145509;11746965_a_at
AOX1;GSE16515;-3.284997829;7.095720623;-6.157374211;1.13E-07;1.31E-05;7.551359005;205083_at
AQP12A;GSE62165;-5.790862219;5.728562881;-12.7980575;7.41E-25;3.79E-23;45.91075539;11735821_s_at
AQP8;GSE62165;-6.18977601;6.094133003;-8.799132711;6.80E-15;7.17E-14;23.17538364;11726764_at
BACE1;GSE62165;-3.600258349;5.325769041;-15.22676338;8.29E-31;1.35E-28;59.50604733;11749940_a_at
BNIP3;GSE16515;-2.000628706;6.809984258;-4.648319096;2.37E-05;0.000530238;2.461460232;201848_s_at
BTG2;GSE62165;-2.451595399;5.793453402;-9.319531072;3.61E-16;4.57E-15;26.07946187;11715614_at
C5;GSE62165;-3.630074698;5.628892253;-11.15408899;9.64E-21;2.48E-19;36.51396518;11737948_a_at
CELA2B;GSE62165;-5.496997409;7.773845217;-5.063889654;1.36E-06;4.44E-06;4.417568103;11718014_a_at
CELP;GSE62165;-5.933464774;5.419938916;-10.15862582;2.99E-18;5.23E-17;30.82629078;11760015_at
CHRM3;GSE62165;-3.46469761;5.100558854;-9.241297459;5.63E-16;6.95E-15;25.64054983;11731806_a_at
CPA2;GSE62165;-5.674391149;8.405972079;-5.485123689;2.04E-07;7.54E-07;6.255426943;11750367_a_at
CTNND2;GSE62165;-3.662096565;4.333481077;-12.25616094;1.67E-23;6.72E-22;42.82170844;11730233_s_at
CTRL;GSE62165;-5.799717985;7.123950622;-5.821935632;4.22E-08;1.72E-07;7.790553463;11728341_a_at
CUZD1;GSE62165;-5.808035614;7.86040754;-5.706563117;7.29E-08;2.87E-07;7.25848512;11729790_a_at
DPP10;GSE62165;-2.7301973;4.001897859;-15.28841724;5.90E-31;9.87E-29;59.84415653;11741166_a_at
EGF;GSE16515;-2.897487858;5.322720915;-4.419280975;5.14E-05;0.000897715;1.729858373;206254_at
EPHX2;GSE62165;-2.821772964;5.225150818;-11.1703878;8.77E-21;2.28E-19;36.60730939;11750932_a_at
ERP27;GSE62165;-5.675426228;7.940920658;-7.311016627;2.31E-11;1.50E-10;15.15225655;11723627_at
F11;GSE62165;-3.818644741;3.916464155;-12.12361564;3.58E-23;1.37E-21;42.06434802;11734932_at
F8;GSE16515;-1.975139897;6.431850603;-5.304349221;2.42E-06;0.000109103;4.628714122;205756_s_at
FGL1;GSE62165;-4.344449512;6.084217852;-6.657527459;6.88E-10;3.62E-09;11.81866338;11756219_a_at
